label,content_segmented,label1
0,亲爱 茵曼 自营 店 顾客 ， 春季 新品 火热 抢购 中 ！ 限时 折扣 优惠 最 划算 。 添件 美衣 百 搭 衬衫 热销 ~ 满额 限量 好礼 赠送 ！ （ URLfwiu 退订 ） 期待 光临 !,
0,霏溦 旗舰店 亲毛 呢大衣 聚 划算 DIGIT 元 全年 最低 错过 一年 点击 抢购 。 不 购买 商品 想要 取消 订单 请 回复 T 退订 回 t 即可 ！,
1,你好 ， 京东 金融 客服 。 账户 异常情况 解决 ？ 验证 身份 办理 后续 业务 ， 请 加微 信号 xxx 下载 京京 一站通 APP 注册 账号 贷款 申请 解冻 卡 操作 即可 流程 .,贷款、代办信用卡类
0,恭喜 升级 成功 ！ 快上 URL 领取 升级 礼包 ， PLACE 刷 经验 。 时间 有限 ~ 请 回复 td 退订 。,
0,商厦 珠宝 节 ！ DIGIT 镶嵌 类 商品 全场 折 黄金 克减 。 全馆 NAME 狂欢 博饼 活动 限时 限量 抢购 工费 免除 ~ 每克 商场 补贴 DIGIT 元 ! 六 福金 至尊 优惠 可享 DIGIT 元 额外 百万 美钻 精品展 惊艳 亮相 丝芙兰 会员 日 黑卡 折扣 更 力 ～,
1,XXX ， 急需 一笔 资金 用于 办事 。 卡 余额 转账 操作 ， 想 请 帮忙 汇款 业务 。,冒充领导、熟人类
0,尊敬 客户 ， 感谢您 店铺 支持 。 提供 优惠活动 特别 礼品 ！ 1 . DIGITPLACE 购买 冰灯 门票 参加 奔跑 兄弟 拓展 撕 名牌 活动 顾客 享受 原价 DIGIT 元 折扣价 仅 需 DIGIT 元 ； 还 包括 价值 DIGIT 元 红酒 一瓶 赠品 （ 茶水 酒精 饮料 外 ） 。 消费 满 DIGIT 元 即可 此项 福利 ~ 快 参与 精彩 活动 ! 请 咨询 PHONE 号码 获取 更 详情 询问 银川 党项 印象 信息 。 欢迎光临 六婆 串串香 火锅店 享用 美食 时 出示 本条 消息 可享 菜品 折 优惠 ！ PLACE 一元 钱 买 一瓶 NAME 红 酒吧 ？ 请 收到 短息来 享有 特惠 服务 有效期 月 日 为止 详询 DIGITPHONE 更 相关 信息 。,
0,利郎 男装 NAME 领秀金 街店 周年 PLACE 巅峰 钜 新款 冬装 全场 满 DIGIT 送 DIGIT 特 价款 低至 XXX 元 ！ 购物 西侧 专卖店 里 。 请 拨打 PHONE 号码 咨询 。,
1,中学 老师 ， 今天下午 订饭 。 明天 后天 中餐 晚餐 好 送过来 。 请 着手 工作 ！ 还 带 货品 学校 ， 希望 尽快 货物 好 送到 手中 .,冒充领导、熟人类
1,您好 ， 快手 APP 官方 客服 代表 。 我误 开通 一个 代理服务 项目 ， 配合 取消 该项 业务 确保您 账户 隐私 保护 。 验证 资金来源 合法 诈骗 发生 ， 指定 银行卡 转账 验资 操作 ； 步骤 后 转 账款 退回 原卡中 方式 返还 用户 本人 ！ 请 放心 语音 提示 指引 相关 流程 即可 顺利 解决问题 ~,冒充客服服务
0,GXG 官方 旗舰店 亲爱 GG 双 年终 狂欢 开场 后前 分钟 单笔 订单 买免 上 不 封顶 ！ 更 红包 拿到 手软 。 别忘了 转身 告别 寒冬 退订 ~,
1,尊敬 客户 ， 您好 ！ 快递 公司 客服 。 很 抱歉 通知 ， 发现 包裹 运输 过程 中 丢失 。 解决 确保您 权益 保障 ， 请 在线 会议 支付宝 理赔 中心 操作 提供 赔偿 服务 。 请 下载 一个 ZOOM 应用程序 添加 设备 上以 后续 操作 ； 打开 应用程序 线上 会议室 订单号 截图 保存 好 便于 核实 工作 确认 身份 信息 无误 后 即可 提供 需 支持 确保您 尽快 收到 应得 补偿金 遗失 物品 解决方案 疑问 进一步 相关 流程 随时 工作人员 竭诚 为您服务 ， 谢谢您 支持 信任 祝您 生活 愉快 。,冒充客服服务
0,云南 二手车 交易市场 感谢您 来电 ， 真心 换 诚信 ， 诚信 换 放心 。 新 老客户 光临,
1,您好 ， 快递 客服 代表 致电 。 一件 中通 包裹 丢失 ， 单 号 尾号 8896 . 这是 失误 损失 提供 赔偿 服务 。 理赔 补偿 程序 请 下载 全视 通云 注册 好 手机号码 建立 视频会议 后续 沟通 相关 事宜 谢谢 配合 ！,冒充客服服务
1,二中 老师 ， 学校 举办 一个 活动 。 提升 活动 品质 参与者 体验 感 ， 计划 提供 佛跳墙 食品 供应 。 时间 紧迫 ， 亲自 购买 食材来 制作 这道 菜肴 。 希望 市场 上 寻找 采购 需 材料 这批 佛跳墙 ？ 协助 使 这次 活动 完美 成功 ！,冒充领导、熟人类
0,亲爱 ， 快 参加 聚 划算 热卖 单品 DIGIT 点 抢购 活动 ！ 人气 爆款 清仓价 开团 定制 大礼 领 。 更 裂帛 品牌 全场 不停 钜 名 回馈 ~ 退订 需求 请 回复 td 即可 。 （ 编辑 短信 文本 ）,
1,您好 ， 京东 客服 代表 。 想 通知 软件 上 申请 借钱 服务 信息 。 发现 账户 条件 ， 将要 收取 费用 才能 该项 服务 。 不 打算 再 这项 服务 ， 帮 注销 账号 退出 相关 业务 ！ 保护 个人隐私 保障 建议您 下载 一个 钉 钉 APP 远程 协助 操作 确保 资金 安全性 完整性 放心 办理 事情 ； 提醒 微信 搜索 人民 小 助手 公众 号 查询 绑定 银行卡 额度 信息 正确 及时处理 后续 不必要 损失 ～,冒充客服服务
0,山东 欢迎您 ， 美丽 旅程 。,
